AB,A BE
YDK,ye de ka
YDS,ye de se
YEÖGM,ye e ö ge me
YİBF,ye i be fe
YİGM,ye i ge me
YKr,yeni kuruş
YÖGM,ye ö ge me
YSE,ye se e
YSK,ye se ka
YTL,ye te le
ZMO,ze me o
Aion,A i on
BMW,be me ve
Cadillac,kadillak
Caterham,Katerham
Chery,Çeri
Chevrolet,Şevrolet
Chrysler,kırayslır
Citroen,Sitroen
Dacia,Daçya
Daewoo,Day vu
Daihatsu,dayhatsu
dodge,doç
DS Automobiles,De se a u to mobayıls
Eagle,igıl
Ferrari,Fer ra ri
Ford,Fort
Geely,Ci ili
Hyundai,Hunday
Kia,Ki a
Lamborghini,Lamborcini
Lancia,Lan ci a
Leapmotor,Lepmotor
Lexus,Leksus
Lincoln,Linkoln
Marcos,Markos
McLaren,Emsi Laren
Mercedes,Mersedes
MG,Em ci
Mitsubishi,Mitsubişi
Moskwitsch,Moskviçh
Peugeot,Pejo
Plymouth,Pılymoft
Pontiac,Pon ti ac
Porsche,Porşe
Renault,Renolt
Rolls-Royce,Rols roys
Rolls Royce,Rols roys
Saab,Sa ab
Saturn,Satürn
Seat,Se at
Smart,Sımart
Volswagen,volksvagen
Apt.,apartman
Atk,A te ka
Alb.,Albay
Atğm.,Asteğmen
Bçvş.,Başçavuş
ğ,Yumuşak ge
Doç.,Doçent
İng.,İngilizce
Korg.,Korgeneral
Asb., Astsubay
Atm., Atmosfer
Av.,Avukat
BM,Birleşmiş Milletler
Bşk., Başkan
Cad.,Cadde
CD, Si Di
Dk,Dakika
Ecz.,Eczacı
Fak.,Fakülte
hek.,hekim
&,ve
black,b lek
sok.,sokak
tuğg,tuğgeneral
vb.,ve benzeri
vs.,vesaire
yy.,yüzyıl
